               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.043948,             0.01678,                   0,             0.15195,             0.16401,            0.050929,           0.0094569,            0.042386,            0.012878,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.042929,            0.013747,                   0,             0.15195,             0.16401,            0.050929,           0.0094569,            0.042386,            0.012869,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.046443,            0.015931,                   0,            0.054924,            0.044326,            0.008965,           0.0017067,            0.042185,            0.011819,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.042197,            0.014507,                   0,            0.054924,            0.044326,            0.008965,           0.0017067,            0.042185,             0.01181,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.043965,            0.013641,                   0,             0.18547,             0.16933,             0.06833,             0.01288,            0.041265,            0.013269,                   0,            0.008713,            0.008713,            0.008713
                 132,            0.043514,            0.015955,                   0,             0.18547,             0.16933,             0.06833,             0.01288,            0.041265,             0.01328,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.040605,            0.020067,                   0,            0.023882,            0.032801,           0.0047742,          0.00067775,            0.042459,            0.012671,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.042138,            0.018876,                   0,            0.023882,            0.032801,           0.0047742,          0.00067775,            0.042459,            0.012678,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,            0.041578,            0.016513,                   0,             0.13663,             0.14982,            0.046668,           0.0084021,             0.04211,            0.013815,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.043454,             0.01545,                   0,             0.13663,             0.14982,            0.046668,           0.0084021,             0.04211,            0.013819,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,            0.043579,            0.015429,                   0,            0.016361,            0.024823,           0.0027333,          0.00041445,            0.044252,              0.0108,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.043609,            0.012257,                   0,            0.016361,            0.024823,           0.0027333,          0.00041445,            0.044252,              0.0108,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.042841,            0.012907,                   0,             0.06143,            0.089539,             0.01481,           0.0022633,            0.041573,            0.013209,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,            0.040321,            0.017824,                   0,             0.06143,            0.089539,             0.01481,           0.0022633,            0.041573,              0.0132,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.042274,            0.014188,                   0,             0.12881,             0.20479,            0.059871,            0.012079,            0.041084,            0.014748,                   0,            0.008614,            0.008614,            0.008614
                 142,            0.041745,            0.018719,                   0,             0.12881,             0.20479,            0.059871,            0.012079,            0.041084,            0.014752,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.041109,            0.019414,                   0,            0.038995,            0.077128,            0.011288,           0.0018348,            0.042272,            0.012442,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.038671,            0.022749,                   0,            0.038995,            0.077128,            0.011288,           0.0018348,            0.042272,            0.012448,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,            0.038505,            0.024551,                   0,             0.20164,             0.24025,             0.10533,            0.020129,             0.04062,            0.015276,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,            0.042406,            0.015196,                   0,             0.20164,             0.24025,             0.10533,            0.020129,             0.04062,            0.015269,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,            0.043488,            0.013626,                   0,            0.038633,            0.075355,            0.010409,           0.0016065,            0.041635,            0.013496,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.039794,            0.021975,                   0,            0.038633,            0.075355,            0.010409,           0.0016065,            0.041635,              0.0135,                   0,           0.0085447,           0.0085447,           0.0085447
                 149,            0.043622,            0.010927,                   0,             0.34797,             0.27571,             0.18579,            0.039351,            0.039222,            0.014485,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,            0.042433,            0.015303,                   0,             0.34797,             0.27571,             0.18579,            0.039351,            0.039222,            0.014484,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,            0.038512,            0.019545,                   0,            0.059628,            0.049645,            0.012022,           0.0018858,            0.040992,            0.012985,                   0,            0.008515,            0.008515,            0.008515
                 152,             0.04396,            0.014219,                   0,            0.059628,            0.049645,            0.012022,           0.0018858,            0.040992,            0.012982,                   0,           0.0085051,           0.0085051,           0.0085051
